doc_id,label,case_id,template_family_id,source_format,degradation,asset_relative_path,ground_truth_relative_path
SYN-00001,pa_request,SYNTH-CASE-0001,family-00,pdf,clean,rendered/pa_request/doc_0000.pdf,documents/pa_request/doc_0000.txt
SYN-00001,pa_request,SYNTH-CASE-0001,family-00,image,clean,rendered/pa_request/doc_0000_clean.png,documents/pa_request/doc_0000.txt
SYN-00002,pa_request,SYNTH-CASE-0002,family-01,pdf,clean,rendered/pa_request/doc_0001.pdf,documents/pa_request/doc_0001.txt
SYN-00002,pa_request,SYNTH-CASE-0002,family-01,image,rotated,rendered/pa_request/doc_0001_rotated.png,documents/pa_request/doc_0001.txt
SYN-00061,insurance_card,SYNTH-CASE-0001,family-00,pdf,clean,rendered/insurance_card/doc_0000.pdf,documents/insurance_card/doc_0000.txt
SYN-00061,insurance_card,SYNTH-CASE-0001,family-00,image,clean,rendered/insurance_card/doc_0000_clean.png,documents/insurance_card/doc_0000.txt
SYN-00062,insurance_card,SYNTH-CASE-0002,family-01,pdf,clean,rendered/insurance_card/doc_0001.pdf,documents/insurance_card/doc_0001.txt
SYN-00062,insurance_card,SYNTH-CASE-0002,family-01,image,rotated,rendered/insurance_card/doc_0001_rotated.png,documents/insurance_card/doc_0001.txt
SYN-00121,referral,SYNTH-CASE-0001,family-00,pdf,clean,rendered/referral/doc_0000.pdf,documents/referral/doc_0000.txt
SYN-00121,referral,SYNTH-CASE-0001,family-00,image,clean,rendered/referral/doc_0000_clean.png,documents/referral/doc_0000.txt
SYN-00122,referral,SYNTH-CASE-0002,family-01,pdf,clean,rendered/referral/doc_0001.pdf,documents/referral/doc_0001.txt
SYN-00122,referral,SYNTH-CASE-0002,family-01,image,rotated,rendered/referral/doc_0001_rotated.png,documents/referral/doc_0001.txt
SYN-00181,prescription,SYNTH-CASE-0001,family-00,pdf,clean,rendered/prescription/doc_0000.pdf,documents/prescription/doc_0000.txt
SYN-00181,prescription,SYNTH-CASE-0001,family-00,image,clean,rendered/prescription/doc_0000_clean.png,documents/prescription/doc_0000.txt
SYN-00182,prescription,SYNTH-CASE-0002,family-01,pdf,clean,rendered/prescription/doc_0001.pdf,documents/prescription/doc_0001.txt
SYN-00182,prescription,SYNTH-CASE-0002,family-01,image,rotated,rendered/prescription/doc_0001_rotated.png,documents/prescription/doc_0001.txt
SYN-00241,clinical_note,SYNTH-CASE-0001,family-00,pdf,clean,rendered/clinical_note/doc_0000.pdf,documents/clinical_note/doc_0000.txt
SYN-00241,clinical_note,SYNTH-CASE-0001,family-00,image,clean,rendered/clinical_note/doc_0000_clean.png,documents/clinical_note/doc_0000.txt
SYN-00242,clinical_note,SYNTH-CASE-0002,family-01,pdf,clean,rendered/clinical_note/doc_0001.pdf,documents/clinical_note/doc_0001.txt
SYN-00242,clinical_note,SYNTH-CASE-0002,family-01,image,rotated,rendered/clinical_note/doc_0001_rotated.png,documents/clinical_note/doc_0001.txt
SYN-00301,medication_history,SYNTH-CASE-0001,family-00,pdf,clean,rendered/medication_history/doc_0000.pdf,documents/medication_history/doc_0000.txt
SYN-00301,medication_history,SYNTH-CASE-0001,family-00,image,clean,rendered/medication_history/doc_0000_clean.png,documents/medication_history/doc_0000.txt
SYN-00302,medication_history,SYNTH-CASE-0002,family-01,pdf,clean,rendered/medication_history/doc_0001.pdf,documents/medication_history/doc_0001.txt
SYN-00302,medication_history,SYNTH-CASE-0002,family-01,image,rotated,rendered/medication_history/doc_0001_rotated.png,documents/medication_history/doc_0001.txt
SYN-00361,lab_report,SYNTH-CASE-0001,family-00,pdf,clean,rendered/lab_report/doc_0000.pdf,documents/lab_report/doc_0000.txt
SYN-00361,lab_report,SYNTH-CASE-0001,family-00,image,clean,rendered/lab_report/doc_0000_clean.png,documents/lab_report/doc_0000.txt
SYN-00362,lab_report,SYNTH-CASE-0002,family-01,pdf,clean,rendered/lab_report/doc_0001.pdf,documents/lab_report/doc_0001.txt
SYN-00362,lab_report,SYNTH-CASE-0002,family-01,image,rotated,rendered/lab_report/doc_0001_rotated.png,documents/lab_report/doc_0001.txt
SYN-00421,other,SYNTH-CASE-0001,family-00,pdf,clean,rendered/other/doc_0000.pdf,documents/other/doc_0000.txt
SYN-00421,other,SYNTH-CASE-0001,family-00,image,clean,rendered/other/doc_0000_clean.png,documents/other/doc_0000.txt
SYN-00422,other,SYNTH-CASE-0002,family-01,pdf,clean,rendered/other/doc_0001.pdf,documents/other/doc_0001.txt
SYN-00422,other,SYNTH-CASE-0002,family-01,image,rotated,rendered/other/doc_0001_rotated.png,documents/other/doc_0001.txt
