doc_id,filename,relative_path,label,split,char_count,case_id,template_family_id,degradation
SYN-00001,doc_0000.txt,documents/pa_request/doc_0000.txt,pa_request,train,354,SYNTH-CASE-0001,family-00,none
SYN-00002,doc_0001.txt,documents/pa_request/doc_0001.txt,pa_request,train,200,SYNTH-CASE-0002,family-01,none
SYN-00003,doc_0002.txt,documents/pa_request/doc_0002.txt,pa_request,train,348,SYNTH-CASE-0003,family-02,none
SYN-00004,doc_0003.txt,documents/pa_request/doc_0003.txt,pa_request,train,255,SYNTH-CASE-0004,family-03,none
SYN-00005,doc_0004.txt,documents/pa_request/doc_0004.txt,pa_request,train,344,SYNTH-CASE-0005,family-04,none
SYN-00006,doc_0005.txt,documents/pa_request/doc_0005.txt,pa_request,train,260,SYNTH-CASE-0006,family-05,none
SYN-00007,doc_0006.txt,documents/pa_request/doc_0006.txt,pa_request,train,373,SYNTH-CASE-0007,family-06,none
SYN-00008,doc_0007.txt,documents/pa_request/doc_0007.txt,pa_request,val,363,SYNTH-CASE-0008,family-07,none
SYN-00009,doc_0008.txt,documents/pa_request/doc_0008.txt,pa_request,test,461,SYNTH-CASE-0009,family-08,none
SYN-00010,doc_0009.txt,documents/pa_request/doc_0009.txt,pa_request,challenge,250,SYNTH-CASE-0010,family-09,ocr_like_text
SYN-00011,doc_0010.txt,documents/pa_request/doc_0010.txt,pa_request,train,339,SYNTH-CASE-0011,family-00,none
SYN-00012,doc_0011.txt,documents/pa_request/doc_0011.txt,pa_request,train,171,SYNTH-CASE-0012,family-01,none
SYN-00013,doc_0012.txt,documents/pa_request/doc_0012.txt,pa_request,train,371,SYNTH-CASE-0013,family-02,none
SYN-00014,doc_0013.txt,documents/pa_request/doc_0013.txt,pa_request,train,263,SYNTH-CASE-0014,family-03,none
SYN-00015,doc_0014.txt,documents/pa_request/doc_0014.txt,pa_request,train,239,SYNTH-CASE-0015,family-04,none
SYN-00016,doc_0015.txt,documents/pa_request/doc_0015.txt,pa_request,train,383,SYNTH-CASE-0016,family-05,none
SYN-00017,doc_0016.txt,documents/pa_request/doc_0016.txt,pa_request,train,257,SYNTH-CASE-0017,family-06,none
SYN-00018,doc_0017.txt,documents/pa_request/doc_0017.txt,pa_request,val,183,SYNTH-CASE-0018,family-07,none
SYN-00019,doc_0018.txt,documents/pa_request/doc_0018.txt,pa_request,test,346,SYNTH-CASE-0019,family-08,none
SYN-00020,doc_0019.txt,documents/pa_request/doc_0019.txt,pa_request,challenge,401,SYNTH-CASE-0020,family-09,ocr_like_text
SYN-00021,doc_0020.txt,documents/pa_request/doc_0020.txt,pa_request,train,199,SYNTH-CASE-0021,family-00,none
SYN-00022,doc_0021.txt,documents/pa_request/doc_0021.txt,pa_request,train,393,SYNTH-CASE-0022,family-01,none
SYN-00023,doc_0022.txt,documents/pa_request/doc_0022.txt,pa_request,train,391,SYNTH-CASE-0023,family-02,none
SYN-00024,doc_0023.txt,documents/pa_request/doc_0023.txt,pa_request,train,319,SYNTH-CASE-0024,family-03,none
SYN-00025,doc_0024.txt,documents/pa_request/doc_0024.txt,pa_request,train,214,SYNTH-CASE-0025,family-04,none
SYN-00026,doc_0025.txt,documents/pa_request/doc_0025.txt,pa_request,train,268,SYNTH-CASE-0026,family-05,none
SYN-00027,doc_0026.txt,documents/pa_request/doc_0026.txt,pa_request,train,195,SYNTH-CASE-0027,family-06,none
SYN-00028,doc_0027.txt,documents/pa_request/doc_0027.txt,pa_request,val,280,SYNTH-CASE-0028,family-07,none
SYN-00029,doc_0028.txt,documents/pa_request/doc_0028.txt,pa_request,test,215,SYNTH-CASE-0029,family-08,none
SYN-00030,doc_0029.txt,documents/pa_request/doc_0029.txt,pa_request,challenge,323,SYNTH-CASE-0030,family-09,ocr_like_text
SYN-00031,doc_0030.txt,documents/pa_request/doc_0030.txt,pa_request,train,217,SYNTH-CASE-0031,family-00,none
SYN-00032,doc_0031.txt,documents/pa_request/doc_0031.txt,pa_request,train,258,SYNTH-CASE-0032,family-01,none
SYN-00033,doc_0032.txt,documents/pa_request/doc_0032.txt,pa_request,train,313,SYNTH-CASE-0033,family-02,none
SYN-00034,doc_0033.txt,documents/pa_request/doc_0033.txt,pa_request,train,199,SYNTH-CASE-0034,family-03,none
SYN-00035,doc_0034.txt,documents/pa_request/doc_0034.txt,pa_request,train,227,SYNTH-CASE-0035,family-04,none
SYN-00036,doc_0035.txt,documents/pa_request/doc_0035.txt,pa_request,train,308,SYNTH-CASE-0036,family-05,none
SYN-00037,doc_0036.txt,documents/pa_request/doc_0036.txt,pa_request,train,225,SYNTH-CASE-0037,family-06,none
SYN-00038,doc_0037.txt,documents/pa_request/doc_0037.txt,pa_request,val,205,SYNTH-CASE-0038,family-07,none
SYN-00039,doc_0038.txt,documents/pa_request/doc_0038.txt,pa_request,test,169,SYNTH-CASE-0039,family-08,none
SYN-00040,doc_0039.txt,documents/pa_request/doc_0039.txt,pa_request,challenge,235,SYNTH-CASE-0040,family-09,ocr_like_text
SYN-00041,doc_0040.txt,documents/pa_request/doc_0040.txt,pa_request,train,203,SYNTH-CASE-0041,family-00,none
SYN-00042,doc_0041.txt,documents/pa_request/doc_0041.txt,pa_request,train,181,SYNTH-CASE-0042,family-01,none
SYN-00043,doc_0042.txt,documents/pa_request/doc_0042.txt,pa_request,train,279,SYNTH-CASE-0043,family-02,none
SYN-00044,doc_0043.txt,documents/pa_request/doc_0043.txt,pa_request,train,330,SYNTH-CASE-0044,family-03,none
SYN-00045,doc_0044.txt,documents/pa_request/doc_0044.txt,pa_request,train,279,SYNTH-CASE-0045,family-04,none
SYN-00046,doc_0045.txt,documents/pa_request/doc_0045.txt,pa_request,train,212,SYNTH-CASE-0046,family-05,none
SYN-00047,doc_0046.txt,documents/pa_request/doc_0046.txt,pa_request,train,250,SYNTH-CASE-0047,family-06,none
SYN-00048,doc_0047.txt,documents/pa_request/doc_0047.txt,pa_request,val,204,SYNTH-CASE-0048,family-07,none
